method,time_limit,value,gap
MTZ,60.0,40283.0,0.2016525967246368
MTZ,300.0,40283.0,0.2016525967246368
MTZ,600.0,40213.0,0.19956447811950004
MTZ+eq2,60.0,35787.0,0.06753572174328074
MTZ+eq2,300.0,35555.0,0.06061510008054172
MTZ+eq2,600.0,34866.0,0.04006204695283835
SF,60.0,35258.0,0.051755511141604274
SF,300.0,35258.0,0.051755511141604274
SF,600.0,35249.0,0.05148703874951526
SF+eq2,60.0,33551.0,0.0008352474420547087
SF+eq2,300.0,33551.0,0.0008352474420547087
SF+eq2,600.0,33551.0,0.0008352474420547087
