instance,n,method,value,time,status
FIVE,5,MTZ,19.0,0.011529922485351562,OPTIMAL
FIVE,5,MTZ+eq2,19.0,0.005134105682373047,OPTIMAL
FIVE,5,SF,19.0,0.01874399185180664,OPTIMAL
FIVE,5,SF+eq2,19.0,0.005392789840698242,OPTIMAL
GR17,17,MTZ,2085.0,4.900840997695923,OPTIMAL
GR17,17,MTZ+eq2,2085.0,5.643256902694702,OPTIMAL
GR17,17,SF,2085.0,0.5839838981628418,OPTIMAL
GR17,17,SF+eq2,2085.0,0.5232658386230469,OPTIMAL
FRI26,26,MTZ,937.0,9.80767297744751,OPTIMAL
FRI26,26,MTZ+eq2,937.0,12.040591955184937,OPTIMAL
FRI26,26,SF,937.0,9.235445976257324,OPTIMAL
FRI26,26,SF+eq2,937.0,2.4543960094451904,OPTIMAL
DANTZIG42,42,MTZ,752.0,301.91405296325684,TIME_LIMIT
DANTZIG42,42,MTZ+eq2,762.0,301.80477595329285,TIME_LIMIT
DANTZIG42,42,SF,699.0,268.8969669342041,OPTIMAL
DANTZIG42,42,SF+eq2,699.0,6.282792091369629,OPTIMAL
